first name,last name,username,birthday,picture,room,addresses,phone numbers,emails,relationships,pets,meals,allergies,dietary restrictions
 ,BAKER,bakery0, , , ,"","","","","","","", ""
 ,SCOTT,scottg0, , , ,"","","","","","","", ""
 ,EVANS,evansa0, , , ,"","","","","","","", ""
 ,BAKER,bakerb0, , , ,"","","","","","","", ""
 ,COX,coxy0, , , ,"","","","","","","", ""
 ,TURNER,turnerm0, , , ,"","","","","","","", ""
 ,JOHNSON,johnsonc0, , , ,"","","","","","","", ""
 ,BAKER,bakerd0, , , ,"","","","","","","", ""
 ,CARTER,carterg0, , , ,"","","","","","","", ""
 ,CAMPBELL,campbellz0, , , ,"","","","","","","", ""
 ,CAMPBELL,campbelli0, , , ,"","","","","","","", ""
 ,GREEN,greenb0, , , ,"","","","","","","", ""
 ,GREEN,greena0, , , ,"","","","","","","", ""
 ,WARD,wardy0, , , ,"","","","","","","", ""
 ,SMITH,smithf0, , , ,"","","","","","","", ""
 ,MITCHELL,mitchellb0, , , ,"","","","","","","", ""
 ,ALLEN,allena0, , , ,"","","","","","","", ""
 ,ROBERTS,robertsg0, , , ,"","","","","","","", ""
 ,JOHNSON,johnsonj0, , , ,"","","","","","","", ""
 ,MITCHELL,mitchelln0, , , ,"","","","","","","", ""
 ,DIAZ,diazn0, , , ,"","","","","","","", ""
 ,MITCHELL,mitchelli0, , , ,"","","","","","","", ""
 ,SANCHEZ,sanchezn0, , , ,"","","","","","","", ""
 ,PHILLIPS,phillipsg0, , , ,"","","","","","","", ""
 ,YOUNG,youngc0, , , ,"","","","","","","", ""
 ,CARTER,cartery0, , , ,"","","","","","","", ""
 ,HALL,hallo0, , , ,"","","","","","","", ""
